player,round,hole,strokes,par,yds,score
"Kuipers, Jim",1,12,6,5,216,1
"Kuipers, Jim",1,13,2,4,273,-2
"Kuipers, Jim",1,14,3,4,193,-1
"Kuipers, Jim",1,15,3,4,181,-1
"Kuipers, Jim",1,16,5,4,165,1
"Kuipers, Jim",1,17,3,4,175,-1
"Kuipers, Jim",1,18,5,3,64,2
"Romain, LASALLE",1,1,4,5,153,-1
"Romain, LASALLE",1,2,4,4,164,0
"Romain, LASALLE",1,3,4,4,202,0
"Romain, LASALLE",1,4,6,4,174,2
"Romain, LASALLE",1,5,3,3,99,0
"Romain, LASALLE",1,6,3,4,137,-1
"Romain, LASALLE",1,7,4,3,89,1
"Romain, LASALLE",1,8,4,3,76,1
"Romain, LASALLE",1,9,2,5,167,-3
"Romain, LASALLE",1,10,5,4,198,1
"Romain, LASALLE",1,11,3,4,178,-1
"Romain, LASALLE",1,12,6,5,216,1
"Romain, LASALLE",1,13,3,4,273,-1
"Romain, LASALLE",1,14,4,4,193,0
"Romain, LASALLE",1,15,3,4,181,-1
"Romain, LASALLE",1,16,4,4,165,0
"Romain, LASALLE",1,17,2,4,175,-2
"Romain, LASALLE",1,18,7,3,64,4
"Gutiérrez López, Sergio",1,1,4,5,153,-1
"Gutiérrez López, Sergio",1,2,4,4,164,0
